station,time_utc,epoch,confidence,loc,valid_frac,day
S12,1969-11-21T11:27:16,-3501163.02,0.6737,00,0.9474,1969-11-21
S12,1969-11-21T13:31:05,-3493734.19,0.648,00,0.9419,1969-11-21
S12,1969-12-04T09:56:38,-2383401.81,0.5155,00,0.919,1969-12-04
S12,1969-12-15T01:28:20,-1463499.62,0.6347,00,1.0,1969-12-15
S12,1969-12-16T23:09:54,-1299005.13,0.688,00,0.9357,1969-12-16
S12,1969-12-17T14:01:50,-1245489.06,0.6877,00,0.9577,1969-12-17
S12,1969-12-17T22:49:08,-1213851.32,0.7419,00,0.9037,1969-12-17
S12,1969-12-22T12:30:52,-818947.17,0.6891,00,0.9044,1969-12-22
S12,1970-01-10T05:38:13,797893.28,0.6809,00,0.9344,1970-01-10
S12,1970-01-19T20:27:37,1628857.21,0.4139,00,1.0,1970-01-19
S12,1970-01-24T22:15:20,2067320.0,0.7246,00,0.9216,1970-01-24
S12,1970-02-21T20:57:05,4481825.06,0.5063,00,1.0,1970-02-21
S12,1970-03-09T04:56:11,5806571.92,0.6589,00,0.963,1970-03-09
S12,1970-03-26T20:16:49,7330609.96,0.528,00,1.0,1970-03-26
S12,1970-04-08T08:08:16,8410096.75,0.4537,00,1.0,1970-04-08
S12,1970-04-15T01:14:00,8990040.6,0.4068,00,1.0,1970-04-15
S12,1970-04-15T01:45:34,8991934.04,0.3493,00,1.0,1970-04-15
S12,1970-04-22T13:19:10,9638350.94,0.6483,00,0.946,1970-04-22
S12,1970-06-04T15:18:19,13360699.62,0.5682,00,1.0,1970-06-04
S12,1970-06-15T18:59:04,14324344.0,0.4862,00,1.0,1970-06-15
S12,1970-06-22T23:38:53,14945933.74,0.6406,00,0.9657,1970-06-22
S12,1970-06-26T19:59:55,15278395.62,0.4823,00,1.0,1970-06-26
S12,1970-07-04T14:35:58,15950158.94,0.4282,00,0.9174,1970-07-04
S12,1970-07-20T05:04:53,17298293.58,0.415,00,1.0,1970-07-20
S12,1970-07-24T16:46:43,17686003.17,0.6293,00,1.0,1970-07-24
S12,1970-08-13T09:12:50,19386770.57,0.6846,00,0.9216,1970-08-13
S12,1970-09-01T20:57:05,21070625.06,0.4334,00,1.0,1970-09-01
S12,1970-11-12T12:52:27,27262347.32,0.4496,00,1.0,1970-11-12
S12,1970-11-15T00:49:03,27478143.25,0.5923,00,0.9705,1970-11-15
S12,1970-11-15T13:30:46,27523846.49,0.7002,00,0.9595,1970-11-15
S12,1970-11-20T13:19:59,27955199.25,0.7666,00,0.954,1970-11-20
S12,1970-11-22T19:30:47,28150247.09,0.7427,00,0.9293,1970-11-22
S12,1970-12-03T11:08:07,29070487.4,0.7756,00,0.9113,1970-12-03
S12,1971-01-21T03:03:29,33275009.66,0.7032,00,0.9696,1971-01-21
S12,1971-02-03T07:09:01,34412941.74,0.71,00,1.0,1971-02-03
S12,1971-02-04T07:40:44,34501244.83,0.7359,00,1.0,1971-02-04
S12,1971-02-07T00:48:53,34735733.58,0.5763,00,0.9122,1971-02-07
S12,1971-03-18T14:21:48,38154108.83,0.6839,00,0.9483,1971-03-18
S12,1971-03-19T18:23:19,38254999.4,0.5153,00,1.0,1971-03-19
S12,1971-04-05T21:05:17,39733517.74,0.7077,00,0.9401,1971-04-05
S12,1971-04-17T07:04:31,40719871.25,0.601,00,1.0,1971-04-17
S12,1971-04-18T14:21:39,40832499.17,0.7322,00,0.9328,1971-04-18
S12,1971-05-12T09:43:16,42889396.38,0.4577,00,1.0,1971-05-12
S12,1971-05-23T22:20:00,43885200.15,0.6122,00,1.0,1971-05-23
S12,1971-05-29T04:02:35,44337755.02,0.6918,00,0.911,1971-05-29
S12,1971-06-07T12:28:08,45145688.6,0.7001,00,0.9383,1971-06-07
S12,1971-06-12T10:50:44,45571844.08,0.6004,00,1.0,1971-06-12
S12,1971-06-27T18:53:35,46896815.55,0.4219,00,1.0,1971-06-27
S12,1971-06-29T14:35:00,47054100.98,0.5874,00,0.9351,1971-06-29
S12,1971-07-01T11:58:50,47217530.42,0.7178,00,0.9216,1971-07-01
S12,1971-07-22T14:21:39,49040499.17,0.699,00,0.9357,1971-07-22
S12,1971-07-26T05:17:46,49353466.42,0.6858,00,0.957,1971-07-26
S12,1971-07-27T11:44:40,49463080.3,0.4538,00,1.0,1971-07-27
S12,1971-07-29T20:59:10,49669150.64,0.592,00,1.0,1971-07-29
S12,1971-08-10T21:05:46,50706346.72,0.7587,00,0.9085,1971-08-10
S12,1971-08-15T14:21:48,51114108.83,0.6254,00,0.9492,1971-08-15
S12,1971-08-23T07:31:34,51780694.19,0.6831,00,0.9483,1971-08-23
S12,1971-08-31T15:26:03,52500363.32,0.7154,00,0.9243,1971-08-31
S12,1971-09-29T03:01:04,54961264.75,0.6597,00,0.925,1971-09-29
S12,1971-10-18T03:19:35,56603975.7,0.5154,00,1.0,1971-10-18
S12,1971-10-20T18:06:34,56829994.72,0.5529,00,1.0,1971-10-20
S12,1971-12-09T14:21:29,61136489.51,0.7605,00,0.9216,1971-12-09
S12,1971-12-10T08:23:05,61201385.51,0.7023,00,0.9241,1971-12-10
S12,1971-12-27T16:16:27,62698587.02,0.5499,00,1.0,1971-12-27
S12,1972-04-19T21:01:25,72565285.89,0.7092,00,1.0,1972-04-19
S12,1972-05-08T11:49:59,74173799.09,0.576,00,0.9657,1972-05-08
S12,1972-05-11T13:35:07,74439307.32,0.4938,00,1.0,1972-05-11
S12,1972-05-13T08:46:55,74594815.25,0.6902,00,1.0,1972-05-13
S12,1972-05-13T09:41:10,74598070.79,0.3429,00,1.0,1972-05-13
S12,1972-05-27T20:15:03,75845703.7,0.428,00,1.0,1972-05-27
S12,1972-07-17T21:55:22,80258122.11,0.4486,00,1.0,1972-07-17
S12,1972-08-03T00:47:36,81650856.3,0.7068,00,0.9492,1972-08-03
S12,1972-08-22T17:19:43,83351983.55,0.6197,00,0.9348,1972-08-22
S12,1972-10-29T16:38:11,89224691.17,0.6422,00,1.0,1972-10-29
S12,1972-11-19T18:25:24,91045524.98,0.5326,00,1.0,1972-11-19
S12,1972-12-10T20:31:19,92867479.4,0.6438,00,1.0,1972-12-10
S12,1973-02-25T02:01:30,99453690.42,0.746,00,0.9428,1973-02-25
S12,1973-02-26T02:51:05,99543065.81,0.659,00,0.9293,1973-02-26
S12,1973-03-13T07:59:25,100857565.43,0.4999,00,1.0,1973-03-13
S12,1973-03-25T10:27:04,101903224.0,0.6183,00,0.9682,1973-03-25
S12,1973-03-27T10:48:19,102077299.17,0.5995,00,0.9572,1973-03-27
S12,1973-04-07T00:30:12,102990612.98,0.5539,00,0.9097,1973-04-07
S12,1973-04-14T14:45:28,103646728.91,0.4562,00,1.0,1973-04-14
S12,1973-04-23T13:57:30,104421450.11,0.3817,00,1.0,1973-04-23
S12,1973-04-26T03:03:20,104641400.0,0.7623,00,0.9357,1973-04-26
S12,1973-04-26T19:21:17,104700077.13,0.5832,00,0.9577,1973-04-26
S12,1973-05-25T14:21:29,107187689.51,0.7323,00,0.9193,1973-05-25
S12,1973-05-25T21:45:23,107214323.17,0.7919,00,0.9293,1973-05-25
S12,1973-06-14T15:35:33,108920133.28,0.6206,00,0.9751,1973-06-14
S12,1973-06-15T14:51:55,109003915.32,0.7425,00,0.9197,1973-06-15
S12,1973-06-26T15:34:35,109956875.32,0.6827,00,0.9758,1973-06-26
S12,1973-07-08T05:27:35,110957255.7,0.6757,00,0.9232,1973-07-08
S12,1973-08-01T12:20:34,113055634.57,0.7784,00,0.909,1973-08-01
S12,1973-08-03T06:37:47,113207867.62,0.6875,00,0.9243,1973-08-03
S12,1973-08-03T21:25:05,113261105.96,0.7274,00,0.9389,1973-08-03
S12,1973-08-16T10:59:16,114346756.08,0.4211,00,1.0,1973-08-16
S12,1973-09-11T10:36:24,116591784.3,0.6146,00,0.9561,1973-09-11
S12,1973-09-19T09:31:50,117279110.49,0.4265,00,1.0,1973-09-19
S12,1973-09-21T08:51:54,117449514.72,0.7042,00,0.952,1973-09-21
S12,1973-09-24T15:57:07,117734227.77,0.6089,00,0.919,1973-09-24
S12,1973-12-08T12:20:15,124201215.25,0.6105,00,0.9403,1973-12-08
S12,1973-12-17T18:42:19,125001739.32,0.4378,00,1.0,1973-12-17
S12,1973-12-22T12:31:50,125411510.79,0.4872,00,0.9625,1973-12-22
S12,1973-12-28T15:22:21,125940141.13,0.4381,00,1.0,1973-12-28
S12,1973-12-28T16:21:45,125943705.81,0.4262,00,1.0,1973-12-28
S12,1973-12-28T17:03:08,125946188.53,0.4413,00,1.0,1973-12-28
S12,1973-12-28T18:16:14,125950574.34,0.4128,00,1.0,1973-12-28
S12,1973-12-28T18:56:58,125953018.42,0.4051,00,1.0,1973-12-28
S12,1973-12-29T13:36:53,126020213.58,0.4371,00,1.0,1973-12-29
S12,1973-12-29T15:49:24,126028164.08,0.4492,00,1.0,1973-12-29
S12,1974-02-07T06:22:20,129450140.23,0.4802,00,1.0,1974-02-07
S12,1974-02-10T12:08:20,129730100.38,0.5956,00,1.0,1974-02-10
S12,1974-03-14T05:07:47,132469667.47,0.4049,00,1.0,1974-03-14
S12,1974-04-19T18:29:07,135628147.17,0.5749,00,1.0,1974-04-19
S12,1974-05-03T13:41:43,136820503.4,0.6859,00,0.9376,1974-05-03
S12,1974-05-13T02:31:07,137644267.92,0.7808,00,0.9966,1974-05-13
S12,1974-06-21T15:54:13,141062053.89,0.7641,00,0.92,1974-06-21
S12,1974-06-28T15:14:27,141664467.77,0.7738,00,0.911,1974-06-28
S12,1974-06-30T17:43:52,141846232.6,0.5441,00,1.0,1974-06-30
S12,1974-07-08T01:49:45,142480185.21,0.7395,00,0.9195,1974-07-08
S12,1974-07-14T01:31:14,142997474.26,0.5921,00,0.9483,1974-07-14
S12,1974-09-21T22:17:35,149033855.25,0.6798,00,0.9181,1974-09-21
S12,1974-09-23T11:52:24,149169144.0,0.5174,00,1.0,1974-09-23
S12,1974-09-24T01:09:20,149216960.45,0.6272,00,0.9639,1974-09-24
S12,1974-10-07T00:08:57,150336537.81,0.4416,00,1.0,1974-10-07
S12,1974-11-21T13:17:15,154271835.02,0.5057,01,1.0,1974-11-21
S12,1974-11-26T19:22:15,154725735.09,0.6623,01,0.9614,1974-11-26
S12,1974-11-29T03:01:43,154926103.4,0.6619,01,0.904,1974-11-29
S12,1974-12-15T09:08:00,156330480.75,0.4752,01,1.0,1974-12-15
S12,1974-12-19T04:45:34,156660334.34,0.6514,01,0.9371,1974-12-19
S12,1974-12-23T10:06:56,157025216.45,0.6536,01,0.93,1974-12-23
S12,1975-01-31T15:36:31,160414591.25,0.5581,01,1.0,1975-01-31
S12,1975-02-03T09:48:15,160652895.85,0.4335,01,1.0,1975-02-03
S12,1975-02-12T09:16:03,161428563.77,0.4989,01,0.9881,1975-02-12
S12,1975-02-22T10:04:41,162295481.21,0.5204,01,1.0,1975-02-22
S12,1975-03-19T03:53:34,164433214.04,0.6758,01,0.9417,1975-03-19
S12,1975-04-12T18:16:14,166558574.34,0.5275,00,1.0,1975-04-12
S12,1975-04-13T13:55:53,166629353.51,0.4573,00,0.922,1975-04-13
S12,1975-05-04T10:04:12,168429852.23,0.5039,00,1.0,1975-05-04
S12,1975-07-23T23:40:20,175390820.68,0.7351,01,0.9211,1975-07-23
S12,1975-08-22T12:37:57,177943077.89,0.7161,01,0.9218,1975-08-22
S12,1975-09-09T14:54:58,179506498.87,0.6821,01,0.9492,1975-09-09
S12,1975-10-06T10:27:52,181823272.3,0.6222,01,0.9035,1975-10-06
S12,1975-10-31T06:32:57,183969177.81,0.513,01,1.0,1975-10-31
S12,1975-11-01T01:24:28,184037068.53,0.3963,01,1.0,1975-11-01
S12,1975-11-01T01:55:23,184038923.32,0.4078,01,1.0,1975-11-01
S12,1975-11-01T03:58:23,184046303.85,0.402,01,1.0,1975-11-01
S12,1975-11-01T04:30:26,184048226.26,0.4571,01,1.0,1975-11-01
S12,1975-11-05T09:45:50,184412750.94,0.4714,01,0.9241,1975-11-05
S12,1975-11-07T11:19:23,184591163.62,0.4803,01,0.904,1975-11-07
S12,1975-11-16T15:46:59,185384819.17,0.6482,01,0.9168,1975-11-16
S12,1975-11-19T21:47:38,185665658.42,0.6287,01,0.9259,1975-11-19
