group,file,time_sec,confidence,uncertainty,matches_catalog,needs_review
S12_GradeB,xa.s12.00.mhz.1969-12-16HR00_evid00006,1468.4,0.6064,0.0143,,False
S12_GradeB,xa.s12.00.mhz.1969-12-16HR00_evid00006,4984.8,0.6913,0.0154,,False
S12_GradeB,xa.s12.00.mhz.1969-12-16HR00_evid00006,9583.1,0.6805,0.032,,False
S12_GradeB,xa.s12.00.mhz.1969-12-16HR00_evid00006,17533.6,0.5366,0.0255,,False
S12_GradeB,xa.s12.00.mhz.1969-12-16HR00_evid00006,82963.3,0.8288,0.0497,,False
S12_GradeB,xa.s12.00.mhz.1970-01-09HR00_evid00007,289.8,0.9035,0.0038,,False
S12_GradeB,xa.s12.00.mhz.1970-01-09HR00_evid00007,7081.1,0.5,0.0121,,False
S12_GradeB,xa.s12.00.mhz.1970-01-09HR00_evid00007,24373.1,0.6406,0.0173,,False
S12_GradeB,xa.s12.00.mhz.1970-02-07HR00_evid00014,289.8,0.8757,0.0047,,False
S12_GradeB,xa.s12.00.mhz.1970-02-07HR00_evid00014,5574.0,0.6877,0.0208,,False
S12_GradeB,xa.s12.00.mhz.1970-02-07HR00_evid00014,12307.3,0.3626,0.0157,,False
S12_GradeB,xa.s12.00.mhz.1970-02-18HR00_evid00016,289.8,0.8597,0.0089,,False
S12_GradeB,xa.s12.00.mhz.1970-02-18HR00_evid00016,6095.7,0.369,0.006,,False
S12_GradeB,xa.s12.00.mhz.1970-02-18HR00_evid00016,43829.1,0.5197,0.0402,,False
S12_GradeB,xa.s12.00.mhz.1970-02-18HR00_evid00016,55663.1,0.3684,0.0774,,True
S12_GradeB,xa.s12.00.mhz.1970-03-14HR00_evid00018,289.8,0.8762,0.0045,,False
S12_GradeB,xa.s12.00.mhz.1970-03-30HR00_evid00020,289.8,0.8336,0.0251,,False
S12_GradeB,xa.s12.00.mhz.1970-03-30HR00_evid00020,46282.9,0.3821,0.0161,,False
S12_GradeB,xa.s12.00.mhz.1970-03-30HR00_evid00020,63517.0,0.5126,0.0148,,False
S12_GradeB,xa.s12.00.mhz.1970-03-30HR00_evid00020,73834.3,0.7826,0.0295,,False
S12_GradeB,xa.s12.00.mhz.1970-04-03HR00_evid00021,38912.0,0.3882,0.0052,,False
S12_GradeB,xa.s12.00.mhz.1970-05-23HR00_evid00027,289.8,0.8813,0.004,,False
S12_GradeB,xa.s12.00.mhz.1970-05-23HR00_evid00027,47248.9,0.7505,0.0117,,False
S12_GradeB,xa.s12.00.mhz.1970-05-24HR00_evid00028,289.8,0.8596,0.002,,False
S12_GradeB,xa.s12.00.mhz.1970-05-24HR00_evid00028,8346.6,0.4618,0.0345,,False
S12_GradeB,xa.s12.00.mhz.1970-05-24HR00_evid00028,16152.2,0.6239,0.0391,,False
S12_GradeB,xa.s12.00.mhz.1970-05-24HR00_evid00028,43462.0,0.7395,0.0356,,False
S12_GradeB,xa.s12.00.mhz.1970-05-24HR00_evid00028,83581.6,0.673,0.004,,False
S12_GradeB,xa.s12.00.mhz.1970-05-25HR00_evid00029,289.8,0.8841,0.0051,,False
S12_GradeB,xa.s12.00.mhz.1970-05-25HR00_evid00029,43896.8,0.7614,0.0122,,False
S12_GradeB,xa.s12.00.mhz.1970-06-19HR00_evid00031,289.8,0.8678,0.0028,,False
S12_GradeB,xa.s12.00.mhz.1970-06-19HR00_evid00031,76944.9,0.3365,0.0286,,False
S12_GradeB,xa.s12.00.mhz.1970-07-17HR00_evid00035,289.8,0.8649,0.0095,,False
S12_GradeB,xa.s12.00.mhz.1970-07-17HR00_evid00035,17949.0,0.6207,0.0086,,False
S12_GradeB,xa.s12.00.mhz.1970-07-17HR00_evid00035,27367.8,0.4692,0.0259,,False
S12_GradeB,xa.s12.00.mhz.1970-07-18HR00_evid00036,289.8,0.8751,0.0019,,False
S12_GradeB,xa.s12.00.mhz.1970-07-18HR00_evid00036,52330.3,0.2436,0.0362,,True
S12_GradeB,xa.s12.00.mhz.1970-07-18HR00_evid00036,76548.8,0.4588,0.0274,,False
S12_GradeB,xa.s12.00.mhz.1970-07-20HR00_evid00037,289.8,0.8901,0.0043,,False
S12_GradeB,xa.s12.00.mhz.1970-07-20HR00_evid00037,18258.1,0.6878,0.0138,,False
S12_GradeB,xa.s12.00.mhz.1970-07-20HR00_evid00037,23783.8,0.7491,0.0142,,False
S12_GradeB,xa.s12.00.mhz.1970-07-20HR00_evid00037,42070.9,0.8883,0.0033,,False
S12_GradeB,xa.s12.00.mhz.1970-07-27HR00_evid00039,541.0,0.4479,0.0479,,False
S12_GradeB,xa.s12.00.mhz.1970-07-27HR00_evid00039,13167.1,0.8326,0.0228,,False
S12_GradeB,xa.s12.00.mhz.1970-09-09HR00_evid00043,43655.2,0.3337,0.0042,,False
S12_GradeB,xa.s12.00.mhz.1970-10-26HR00_evid00049,18470.6,0.5192,0.0423,,False
S12_GradeB,xa.s12.00.mhz.1970-11-03HR00_evid00050,289.8,0.8329,0.0102,,False
S12_GradeB,xa.s12.00.mhz.1970-11-03HR00_evid00050,61971.3,0.7604,0.0037,,False
S12_GradeB,xa.s12.00.mhz.1970-11-03HR00_evid00051,289.8,0.8373,0.0098,,False
S12_GradeB,xa.s12.00.mhz.1970-11-03HR00_evid00051,61971.3,0.7608,0.0172,,False
S12_GradeB,xa.s12.00.mhz.1971-01-03HR00_evid00057,289.8,0.8807,0.0034,,False
S12_GradeB,xa.s12.00.mhz.1971-01-03HR00_evid00057,39317.7,0.5709,0.0404,,False
S12_GradeB,xa.s12.00.mhz.1971-01-05HR00_evid00059,289.8,0.875,0.0048,,False
S12_GradeB,xa.s12.00.mhz.1971-01-05HR00_evid00059,2965.7,0.6934,0.0571,,True
S12_GradeB,xa.s12.00.mhz.1971-01-17HR00_evid00060,289.8,0.8688,0.01,,False
S12_GradeB,xa.s12.00.mhz.1971-01-17HR00_evid00060,26884.8,0.7812,0.042,,False
S12_GradeB,xa.s12.00.mhz.1971-01-17HR00_evid00060,64202.9,0.7128,0.0073,,False
S12_GradeB,xa.s12.00.mhz.1971-03-15HR00_evid00073,289.8,0.8732,0.0042,,False
S12_GradeB,xa.s12.00.mhz.1971-03-15HR00_evid00073,28024.8,0.6306,0.0179,,False
S12_GradeB,xa.s12.00.mhz.1971-04-08HR01_evid00083,7651.0,0.4816,0.005,,False
S12_GradeB,xa.s12.00.mhz.1971-04-08HR01_evid00083,27184.3,0.2975,0.0259,,True
S12_GradeB,xa.s12.00.mhz.1971-05-22HR00_evid00092,289.8,0.4617,0.016,,False
S12_GradeB,xa.s12.00.mhz.1971-05-22HR00_evid00092,64251.2,0.8486,0.008,,False
S12_GradeB,xa.s12.00.mhz.1971-06-11HR00_evid00096,289.8,0.8874,0.0041,,False
S12_GradeB,xa.s12.00.mhz.1971-06-11HR00_evid00096,24189.6,0.6072,0.01,,False
S12_GradeB,xa.s12.00.mhz.1971-06-11HR00_evid00096,49750.9,0.5671,0.0285,,False
S12_GradeB,xa.s12.00.mhz.1971-06-27HR00_evid00101,289.8,0.8683,0.0064,,False
S12_GradeB,xa.s12.00.mhz.1971-06-27HR00_evid00101,68018.7,0.8773,0.0039,,False
S12_GradeB,xa.s12.00.mhz.1971-10-06HR00_evid00124,289.8,0.8928,0.0035,,False
S12_GradeB,xa.s12.00.mhz.1971-10-06HR00_evid00124,38757.4,0.6799,0.0267,,False
S12_GradeB,xa.s12.00.mhz.1971-10-06HR00_evid00124,62116.2,0.5048,0.0229,,False
S12_GradeB,xa.s12.00.mhz.1971-10-06HR00_evid00124,79089.5,0.3891,0.0396,,False
S12_GradeB,xa.s12.00.mhz.1971-10-06HR00_evid00125,289.8,0.8911,0.0018,,False
S12_GradeB,xa.s12.00.mhz.1971-10-06HR00_evid00125,38747.8,0.6731,0.0363,,False
S12_GradeB,xa.s12.00.mhz.1971-10-06HR00_evid00125,62116.2,0.5046,0.0144,,False
S12_GradeB,xa.s12.00.mhz.1971-10-06HR00_evid00125,79089.5,0.3875,0.0338,,False
S12_GradeB,xa.s12.00.mhz.1971-10-26HR00_evid00133,289.8,0.732,0.0262,,False
S12_GradeB,xa.s12.00.mhz.1971-10-26HR00_evid00133,16567.5,0.3413,0.0051,,False
S12_GradeB,xa.s12.00.mhz.1971-10-26HR00_evid00133,51035.8,0.379,0.0512,,True
S12_GradeB,xa.s12.00.mhz.1971-11-24HR00_evid00156,9863.2,0.466,0.0466,,False
S12_GradeB,xa.s12.00.mhz.1972-01-26HR00_evid00186,18547.9,0.8365,0.0073,,False
S12_GradeB,xa.s12.00.mhz.1972-01-26HR00_evid00186,37743.1,0.3948,0.0194,,False
S12_GradeB,xa.s12.00.mhz.1972-01-26HR00_evid00186,58648.2,0.4062,0.0415,,False
S12_GradeB,xa.s12.00.mhz.1972-02-21HR00_evid00190,75167.4,0.4355,0.0126,,False
S12_GradeB,xa.s12.00.mhz.1972-02-28HR00_evid00192,289.8,0.8674,0.0044,,False
S12_GradeB,xa.s12.00.mhz.1972-02-28HR00_evid00192,12732.4,0.5822,0.0662,,True
S12_GradeB,xa.s12.00.mhz.1972-02-28HR00_evid00192,17311.4,0.7356,0.0646,,True
S12_GradeB,xa.s12.00.mhz.1972-02-28HR00_evid00192,45394.1,0.5892,0.0139,,False
S12_GradeB,xa.s12.00.mhz.1972-05-15HR00_evid00223,1545.7,0.3142,0.0192,,False
S12_GradeB,xa.s12.00.mhz.1972-05-15HR00_evid00223,62348.1,0.4337,0.0919,,True
S12_GradeB,xa.s12.00.mhz.1972-05-19HR00_evid00228,289.8,0.8735,0.006,,False
S12_GradeB,xa.s12.00.mhz.1972-05-19HR00_evid00228,45114.0,0.594,0.0305,,False
S12_GradeB,xa.s12.00.mhz.1972-05-19HR00_evid00228,66192.9,0.4492,0.0144,,False
S12_GradeB,xa.s12.00.mhz.1972-11-14HR00_evid00331,69622.3,0.7828,0.015,,False
S12_GradeB,xa.s12.00.mhz.1972-11-19HR00_evid00335,289.8,0.9095,0.0011,,False
S12_GradeB,xa.s12.00.mhz.1972-11-19HR00_evid00335,14954.3,0.4436,0.0152,,False
S12_GradeB,xa.s12.00.mhz.1972-11-19HR00_evid00335,18122.9,0.5028,0.0314,,False
S12_GradeB,xa.s12.00.mhz.1972-11-19HR00_evid00335,66154.3,0.6809,0.017,,False
S12_GradeB,xa.s12.00.mhz.1972-12-02HR00_evid00341,28643.0,0.6278,0.0117,,False
S12_GradeB,xa.s12.00.mhz.1972-12-02HR00_evid00341,78480.9,0.4573,0.046,,False
S12_GradeB,xa.s12.00.mhz.1972-12-06HR00_evid00342,502.3,0.3126,0.0146,,False
S12_GradeB,xa.s12.00.mhz.1972-12-06HR00_evid00342,50832.9,0.6908,0.0123,,False
S12_GradeB,xa.s12.00.mhz.1972-12-15HR00_evid00349,289.8,0.8683,0.0058,,False
S12_GradeB,xa.s12.00.mhz.1972-12-15HR00_evid00349,21900.1,0.5398,0.0225,,False
S12_GradeB,xa.s12.00.mhz.1972-12-15HR00_evid00349,24720.9,0.7417,0.0085,,False
S12_GradeB,xa.s12.00.mhz.1972-12-15HR00_evid00349,27976.5,0.5702,0.0091,,False
S12_GradeB,xa.s12.00.mhz.1973-03-12HR00_evid00384,74404.2,0.5444,0.0221,,False
S12_GradeB,xa.s12.00.mhz.1973-04-23HR00_evid00399,289.8,0.8872,0.0024,,False
S12_GradeB,xa.s12.00.mhz.1973-04-23HR00_evid00399,50098.7,0.8692,0.008,,False
S12_GradeB,xa.s12.00.mhz.1973-08-08HR00_evid00437,289.8,0.8567,0.0055,,False
S12_GradeB,xa.s12.00.mhz.1973-08-08HR00_evid00437,40187.2,0.4725,0.0385,,False
S12_GradeB,xa.s12.00.mhz.1973-08-08HR00_evid00437,59933.0,0.3953,0.0309,,False
S12_GradeB,xa.s12.00.mhz.1973-08-08HR00_evid00437,62145.2,0.5788,0.0124,,False
S12_GradeB,xa.s12.00.mhz.1973-10-03HR03_evid00461,59363.0,0.6966,0.0136,,False
S12_GradeB,xa.s12.00.mhz.1973-10-10HR00_evid00463,10867.9,0.328,0.018,,False
S12_GradeB,xa.s12.00.mhz.1973-11-22HR00_evid00475,50079.4,0.7877,0.0094,,False
S12_GradeB,xa.s12.00.mhz.1974-03-14HR00_evid00506,289.8,0.8772,0.0054,,False
S12_GradeB,xa.s12.00.mhz.1974-03-14HR00_evid00506,18325.7,0.2958,0.0699,,True
S12_GradeB,xa.s12.00.mhz.1974-03-14HR00_evid00506,27194.0,0.8593,0.0072,,False
S12_GradeB,xa.s12.00.mhz.1974-03-30HR00_evid00512,71090.7,0.7738,0.0141,,False
S12_GradeB,xa.s12.00.mhz.1974-05-09HR00_evid00522,289.8,0.8765,0.0041,,False
S12_GradeB,xa.s12.00.mhz.1974-05-09HR00_evid00522,48417.8,0.7395,0.0052,,False
S12_GradeB,xa.s12.00.mhz.1974-05-09HR00_evid00522,79707.8,0.231,0.0295,,True
S12_GradeB,xa.s12.00.mhz.1974-06-30HR00_evid00543,289.8,0.8877,0.0017,,False
S12_GradeB,xa.s12.00.mhz.1974-06-30HR00_evid00543,25358.5,0.4221,0.0399,,False
S12_GradeB,xa.s12.00.mhz.1974-06-30HR00_evid00543,63739.2,0.9187,0.006,,False
S12_GradeB,xa.s12.00.mhz.1974-07-25HR05_evid00553,289.8,0.4944,0.0556,,True
S12_GradeB,xa.s12.00.mhz.1974-07-25HR05_evid00553,32951.5,0.558,0.0117,,False
S12_GradeB,xa.s12.00.mhz.1974-10-02HR00_evid00572,289.8,0.574,0.0753,,True
S12_GradeB,xa.s12.00.mhz.1974-10-02HR00_evid00572,32014.5,0.2795,0.0352,,True
S12_GradeB,xa.s12.00.mhz.1974-10-02HR00_evid00572,48321.2,0.7741,0.0156,,False
S12_GradeB,xa.s12.00.mhz.1974-10-02HR00_evid00572,75070.8,0.5123,0.029,,False
S12_GradeB,xa.s12.00.mhz.1975-04-21HR00_evid00638,289.8,0.7728,0.0077,,False
S12_GradeB,xa.s12.00.mhz.1975-04-21HR00_evid00638,7332.2,0.8037,0.0193,,False
S12_GradeB,xa.s12.00.mhz.1975-04-21HR00_evid00638,19156.5,0.6156,0.0285,,False
S12_GradeB,xa.s12.00.mhz.1975-05-16HR00_evid00651,31908.2,0.2633,0.0481,,True
S12_GradeB,xa.s12.00.mhz.1975-05-16HR00_evid00651,62444.7,0.521,0.0225,,False
S12_GradeB,xa.s12.00.mhz.1975-05-16HR00_evid00651,80065.2,0.4185,0.0134,,False
S12_GradeB,xa.s12.00.mhz.1975-05-20HR00_evid00652,289.8,0.8867,0.0015,,False
S12_GradeB,xa.s12.00.mhz.1975-05-20HR00_evid00652,23474.7,0.6174,0.0178,,False
