file,time_sec,confidence,status,nakamura_dt_sec
xa.s12.00.mhz.1970-03-25HR00_evid00003,12858.0,0.757,fp_matches_nakamura,138.0
xa.s12.00.mhz.1970-04-25HR00_evid00006,38.6,0.869,benchmark_fp,
xa.s12.00.mhz.1970-04-25HR00_evid00006,4501.7,0.786,benchmark_tp,
xa.s12.00.mhz.1970-04-26HR00_evid00007,52156.4,0.849,benchmark_tp,
xa.s12.00.mhz.1970-11-12HR00_evid00015,58.0,0.757,benchmark_fp,
xa.s12.00.mhz.1970-11-12HR00_evid00015,46379.5,0.823,fp_matches_nakamura,180.0
xa.s12.00.mhz.1970-12-11HR00_evid00017,58.0,0.845,benchmark_fp,
xa.s12.00.mhz.1970-12-11HR00_evid00017,26624.0,0.591,benchmark_tp,
xa.s12.00.mhz.1970-12-27HR00_evid00019,48.3,0.867,benchmark_fp,
xa.s12.00.mhz.1970-12-27HR00_evid00019,74037.1,0.575,benchmark_tp,
xa.s12.00.mhz.1970-12-31HR00_evid00021,48.3,0.881,benchmark_fp,
xa.s12.00.mhz.1970-12-31HR00_evid00021,56368.3,0.856,benchmark_tp,
xa.s12.00.mhz.1971-01-29HR00_evid00024,48.3,0.878,benchmark_fp,
xa.s12.00.mhz.1971-10-20HR00_evid00044,183.5,0.842,benchmark_fp,
xa.s12.00.mhz.1971-10-20HR00_evid00044,65062.6,0.815,fp_matches_nakamura,217.0
xa.s12.00.mhz.1972-01-04HR00_evid00049,77.3,0.887,benchmark_fp,
xa.s12.00.mhz.1972-01-04HR00_evid00049,23590.6,0.723,benchmark_tp,
xa.s12.00.mhz.1972-03-12HR00_evid00052,64898.4,0.603,benchmark_tp,
xa.s12.00.mhz.1972-07-17HR00_evid00067,58.0,0.873,benchmark_fp,
xa.s12.00.mhz.1972-07-17HR00_evid00067,28246.9,0.666,benchmark_tp,
xa.s12.00.mhz.1972-07-17HR00_evid00067,79089.5,0.709,fp_matches_nakamura,130.0
xa.s12.00.mhz.1972-07-31HR00_evid00071,67.6,0.876,benchmark_fp,
xa.s12.00.mhz.1972-07-31HR00_evid00071,65497.4,0.805,fp_matches_nakamura,218.0
xa.s12.00.mhz.1973-07-28HR00_evid00120,2994.7,0.739,fp_matches_nakamura,125.0
xa.s12.00.mhz.1974-07-06HR00_evid00151,10510.5,0.801,fp_matches_nakamura,109.0
xa.s12.00.mhz.1974-07-06HR00_evid00151,51460.8,0.71,fp_matches_nakamura,221.0
xa.s12.00.mhz.1974-07-11HR00_evid00152,3091.3,0.631,benchmark_tp,
xa.s12.00.mhz.1975-05-04HR00_evid00192,48.3,0.892,benchmark_fp,
xa.s12.00.mhz.1975-05-04HR00_evid00192,36139.5,0.885,fp_matches_nakamura,160.0
xa.s12.00.mhz.1975-06-24HR00_evid00196,57672.5,0.85,benchmark_tp,
xa.s12.00.mhz.1975-06-26HR00_evid00198,12317.0,0.757,benchmark_tp,
