file,time_sec,confidence,status,nakamura_dt_sec
xa.s12.00.mhz.1970-03-25HR00_evid00003,12848.3,0.752,fp_matches_nakamura,129.0
xa.s12.00.mhz.1970-03-26HR00_evid00004,289.8,0.858,benchmark_fp,
xa.s12.00.mhz.1970-03-26HR00_evid00004,72916.5,0.853,benchmark_tp,
xa.s12.00.mhz.1970-04-25HR00_evid00006,289.8,0.844,benchmark_fp,
xa.s12.00.mhz.1970-04-25HR00_evid00006,4569.4,0.74,fp_matches_nakamura,130.0
xa.s12.00.mhz.1970-04-26HR00_evid00007,52185.4,0.826,benchmark_tp,
xa.s12.00.mhz.1970-11-12HR00_evid00015,289.8,0.811,benchmark_fp,
xa.s12.00.mhz.1970-11-12HR00_evid00015,46379.5,0.82,fp_matches_nakamura,180.0
xa.s12.00.mhz.1970-12-11HR00_evid00017,289.8,0.861,benchmark_fp,
xa.s12.00.mhz.1970-12-11HR00_evid00017,26604.7,0.702,benchmark_tp,
xa.s12.00.mhz.1970-12-27HR00_evid00019,289.8,0.829,benchmark_fp,
xa.s12.00.mhz.1970-12-27HR00_evid00019,74008.2,0.555,benchmark_tp,
xa.s12.00.mhz.1970-12-31HR00_evid00021,289.8,0.841,benchmark_fp,
xa.s12.00.mhz.1970-12-31HR00_evid00021,56358.6,0.853,benchmark_tp,
xa.s12.00.mhz.1971-01-28HR00_evid00023,289.8,0.848,benchmark_fp,
xa.s12.00.mhz.1971-01-28HR00_evid00023,53924.2,0.859,benchmark_tp,
xa.s12.00.mhz.1971-01-29HR00_evid00024,289.8,0.862,benchmark_fp,
xa.s12.00.mhz.1971-01-29HR00_evid00024,66163.9,0.643,benchmark_tp,
xa.s12.00.mhz.1971-10-20HR00_evid00044,289.8,0.848,benchmark_fp,
xa.s12.00.mhz.1971-10-20HR00_evid00044,65033.7,0.772,fp_matches_nakamura,246.0
xa.s12.00.mhz.1972-01-04HR00_evid00049,289.8,0.851,benchmark_fp,
xa.s12.00.mhz.1972-01-04HR00_evid00049,23523.0,0.726,fp_matches_nakamura,177.0
xa.s12.00.mhz.1972-03-12HR00_evid00052,64917.7,0.697,benchmark_tp,
xa.s12.00.mhz.1972-07-17HR00_evid00067,289.8,0.839,benchmark_fp,
xa.s12.00.mhz.1972-07-17HR00_evid00067,28237.3,0.631,benchmark_tp,
xa.s12.00.mhz.1972-07-17HR00_evid00067,79108.8,0.571,fp_matches_nakamura,149.0
xa.s12.00.mhz.1972-07-31HR00_evid00071,289.8,0.853,benchmark_fp,
xa.s12.00.mhz.1972-07-31HR00_evid00071,65275.2,0.784,benchmark_tp,
xa.s12.00.mhz.1973-07-28HR00_evid00120,2956.1,0.82,fp_matches_nakamura,164.0
xa.s12.00.mhz.1974-07-06HR00_evid00150,289.8,0.613,benchmark_fp,
xa.s12.00.mhz.1974-07-06HR00_evid00150,10500.8,0.776,benchmark_tp,
xa.s12.00.mhz.1974-07-06HR00_evid00150,51460.8,0.717,fp_matches_nakamura,221.0
xa.s12.00.mhz.1974-07-11HR00_evid00152,3033.4,0.598,benchmark_tp,
xa.s12.00.mhz.1975-05-04HR00_evid00192,289.8,0.876,benchmark_fp,
xa.s12.00.mhz.1975-05-04HR00_evid00192,36129.8,0.848,fp_matches_nakamura,170.0
xa.s12.00.mhz.1975-06-24HR00_evid00196,57720.8,0.84,benchmark_tp,
xa.s12.00.mhz.1975-06-26HR00_evid00198,12307.3,0.692,benchmark_tp,
xa.s12.00.mhz.1975-06-26HR00_evid00198,48553.1,0.544,fp_matches_nakamura,134.0
