file,time_sec,confidence,status,nakamura_dt_sec
xa.s12.00.mhz.1970-03-25HR00_evid00003,12867.6,0.698,fp_matches_nakamura,148.0
xa.s12.00.mhz.1970-04-25HR00_evid00006,289.8,0.877,benchmark_fp,
xa.s12.00.mhz.1970-04-25HR00_evid00006,4559.7,0.773,benchmark_tp,
xa.s12.00.mhz.1970-04-26HR00_evid00007,52204.7,0.836,benchmark_tp,
xa.s12.00.mhz.1970-11-12HR00_evid00015,289.8,0.681,benchmark_fp,
xa.s12.00.mhz.1970-11-12HR00_evid00015,46389.1,0.839,fp_matches_nakamura,190.0
xa.s12.00.mhz.1970-12-11HR00_evid00017,289.8,0.86,benchmark_fp,
xa.s12.00.mhz.1970-12-11HR00_evid00017,26730.3,0.636,fp_matches_nakamura,211.0
xa.s12.00.mhz.1970-12-27HR00_evid00019,289.8,0.858,benchmark_fp,
xa.s12.00.mhz.1970-12-27HR00_evid00019,74056.5,0.523,benchmark_tp,
xa.s12.00.mhz.1970-12-31HR00_evid00021,289.8,0.87,benchmark_fp,
xa.s12.00.mhz.1970-12-31HR00_evid00021,9515.5,0.649,fp_matches_nakamura,156.0
xa.s12.00.mhz.1970-12-31HR00_evid00021,56358.6,0.86,benchmark_tp,
xa.s12.00.mhz.1971-01-29HR00_evid00024,289.8,0.873,benchmark_fp,
xa.s12.00.mhz.1971-01-29HR00_evid00024,66173.6,0.623,benchmark_tp,
xa.s12.00.mhz.1971-10-20HR00_evid00044,289.8,0.827,benchmark_fp,
xa.s12.00.mhz.1971-10-20HR00_evid00044,65217.2,0.831,benchmark_tp,
xa.s12.00.mhz.1972-01-04HR00_evid00049,289.8,0.869,benchmark_fp,
xa.s12.00.mhz.1972-01-04HR00_evid00049,23552.0,0.724,fp_matches_nakamura,148.0
xa.s12.00.mhz.1972-03-12HR00_evid00052,51055.1,0.708,benchmark_fp,
xa.s12.00.mhz.1972-03-12HR00_evid00052,64908.1,0.694,benchmark_tp,
xa.s12.00.mhz.1972-07-17HR00_evid00067,289.8,0.87,benchmark_fp,
xa.s12.00.mhz.1972-07-17HR00_evid00067,28275.9,0.653,benchmark_tp,
xa.s12.00.mhz.1972-07-17HR00_evid00067,79070.2,0.638,fp_matches_nakamura,110.0
xa.s12.00.mhz.1972-07-31HR00_evid00071,289.8,0.842,benchmark_fp,
xa.s12.00.mhz.1972-07-31HR00_evid00071,65487.7,0.826,fp_matches_nakamura,208.0
xa.s12.00.mhz.1973-07-28HR00_evid00120,2859.5,0.844,fp_matches_nakamura,260.0
xa.s12.00.mhz.1974-07-06HR00_evid00151,289.8,0.68,benchmark_fp,
xa.s12.00.mhz.1974-07-06HR00_evid00151,10491.2,0.828,fp_matches_nakamura,129.0
xa.s12.00.mhz.1974-07-06HR00_evid00151,51460.8,0.749,fp_matches_nakamura,221.0
xa.s12.00.mhz.1974-07-11HR00_evid00152,3014.0,0.6,benchmark_tp,
xa.s12.00.mhz.1975-05-04HR00_evid00192,289.8,0.885,benchmark_fp,
xa.s12.00.mhz.1975-05-04HR00_evid00192,36129.8,0.899,fp_matches_nakamura,170.0
xa.s12.00.mhz.1975-06-24HR00_evid00196,57720.8,0.85,benchmark_tp,
xa.s12.00.mhz.1975-06-26HR00_evid00198,12336.3,0.754,benchmark_tp,
